D_AH_M3,date,BAA_NA,TCMNOM_Y10,TCMNOM_Y2,TCMNOM_Y30
,03JAN1966,,4.63,,
,04JAN1966,,4.65,,
,05JAN1966,,4.63,,
,06JAN1966,,4.6,,
,07JAN1966,,4.6,,
,10JAN1966,,4.61,,
,11JAN1966,,4.6,,
,12JAN1966,,4.56,,
,13JAN1966,,4.58,,
,14JAN1966,,4.59,,
,17JAN1966,,4.61,,
,18JAN1966,,4.61,,
,19JAN1966,,4.61,,
,20JAN1966,,4.6,,
,21JAN1966,,4.59,,
,24JAN1966,,4.6,,
,25JAN1966,,4.61,,
,26JAN1966,,4.61,,
,27JAN1966,,4.63,,
,28JAN1966,,4.65,,
,31JAN1966,,4.69,,
,01FEB1966,,4.69,,
,02FEB1966,,4.7,,
,03FEB1966,,4.7,,
,04FEB1966,,4.71,,
,07FEB1966,,4.73,,
,08FEB1966,,4.72,,
,09FEB1966,,4.74,,
,10FEB1966,,4.78,,
,11FEB1966,,4.86,,
,14FEB1966,,4.87,,
,15FEB1966,,4.88,,
,16FEB1966,,4.89,,
,17FEB1966,,4.88,,
,18FEB1966,,4.9,,
,21FEB1966,,4.92,,
,22FEB1966,,,,
,23FEB1966,,4.92,,
,24FEB1966,,4.93,,
,25FEB1966,,4.97,,
,28FEB1966,,5.02,,
,01MAR1966,,5.01,,
,02MAR1966,,5,,
,03MAR1966,,5,,
,04MAR1966,,4.98,,
,07MAR1966,,4.96,,
,08MAR1966,,4.93,,
,09MAR1966,,4.93,,
,10MAR1966,,4.95,,
,11MAR1966,,4.96,,
,14MAR1966,,4.94,,
,15MAR1966,,4.91,,
,16MAR1966,,4.9,,
,17MAR1966,,4.86,,
,18MAR1966,,4.84,,
,21MAR1966,,4.81,,
,22MAR1966,,4.78,,
,23MAR1966,,4.73,,
,24MAR1966,,4.76,,
,25MAR1966,,4.82,,
,28MAR1966,,4.81,,
,29MAR1966,,4.8,,
,30MAR1966,,4.7,,
,31MAR1966,,4.71,,
,01APR1966,,4.7,,
,04APR1966,,4.69,,
,05APR1966,,4.66,,
,06APR1966,,4.71,,
,07APR1966,,4.73,,
,08APR1966,,,,
,11APR1966,,4.73,,
,12APR1966,,4.73,,
,13APR1966,,4.74,,
,14APR1966,,4.76,,
,15APR1966,,4.77,,
,18APR1966,,4.76,,
,19APR1966,,4.76,,
,20APR1966,,4.8,,
,21APR1966,,4.77,,
,22APR1966,,4.77,,
,25APR1966,,4.78,,
,26APR1966,,4.79,,
,27APR1966,,4.78,,
,28APR1966,,4.78,,
,29APR1966,,4.79,,
,02MAY1966,,4.8,,
,03MAY1966,,4.81,,
,04MAY1966,,4.81,,
,05MAY1966,,4.81,,
,06MAY1966,,4.79,,
,09MAY1966,,4.75,,
,10MAY1966,,4.75,,
,11MAY1966,,4.77,,
,12MAY1966,,4.77,,
,13MAY1966,,4.77,,
,16MAY1966,,4.77,,
,17MAY1966,,4.75,,
,18MAY1966,,4.75,,
,19MAY1966,,4.75,,
,20MAY1966,,4.75,,
,23MAY1966,,4.77,,
,24MAY1966,,4.79,,
,25MAY1966,,4.78,,
,26MAY1966,,4.8,,
,27MAY1966,,4.81,,
,30MAY1966,,,,
,31MAY1966,,4.8,,
,01JUN1966,,4.79,,
,02JUN1966,,4.77,,
,03JUN1966,,4.78,,
,06JUN1966,,4.79,,
,07JUN1966,,4.81,,
,08JUN1966,,4.83,,
,09JUN1966,,4.83,,
,10JUN1966,,4.83,,
,13JUN1966,,4.83,,
,14JUN1966,,4.83,,
,15JUN1966,,4.79,,
,16JUN1966,,4.81,,
,17JUN1966,,4.8,,
,20JUN1966,,4.76,,
,21JUN1966,,4.75,,
,22JUN1966,,4.76,,
,23JUN1966,,4.77,,
,24JUN1966,,4.8,,
,27JUN1966,,4.83,,
,28JUN1966,,4.89,,
,29JUN1966,,4.9,,
,30JUN1966,,4.97,,
,01JUL1966,,4.99,,
,04JUL1966,,,,
,05JUL1966,,4.96,,
,06JUL1966,,4.95,,
,07JUL1966,,4.95,,
,08JUL1966,,4.97,,
,11JUL1966,,5.03,,
,12JUL1966,,5.05,,
,13JUL1966,,5.07,,
,14JUL1966,,5.1,,
,15JUL1966,,5.09,,
,18JUL1966,,5.04,,
,19JUL1966,,5.03,,
,20JUL1966,,5.02,,
,21JUL1966,,5.04,,
,22JUL1966,,5.02,,
,25JUL1966,,4.99,,
,26JUL1966,,4.99,,
,27JUL1966,,4.99,,
,28JUL1966,,5.03,,
,29JUL1966,,5.05,,
,01AUG1966,,5.05,,
,02AUG1966,,5.04,,
,03AUG1966,,5.06,,
,04AUG1966,,5.07,,
,05AUG1966,,5.07,,
,08AUG1966,,5.08,,
,09AUG1966,,5.1,,
,10AUG1966,,5.1,,
,11AUG1966,,5.11,,
,12AUG1966,,5.11,,
,15AUG1966,,5.15,,
,16AUG1966,,5.18,,
,17AUG1966,,5.24,,
,18AUG1966,,5.29,,
,19AUG1966,,5.31,,
,22AUG1966,,5.29,,
,23AUG1966,,5.33,,
,24AUG1966,,5.36,,
,25AUG1966,,5.39,,
,26AUG1966,,5.48,,
,29AUG1966,,5.51,,
,30AUG1966,,5.48,,
,31AUG1966,,5.36,,
,01SEP1966,,5.3,,
,02SEP1966,,5.23,,
,05SEP1966,,,,
,06SEP1966,,5.19,,
,07SEP1966,,5.2,,
,08SEP1966,,5.18,,
,09SEP1966,,5.17,,
,12SEP1966,,5.18,,
,13SEP1966,,5.16,,
,14SEP1966,,5.21,,
,15SEP1966,,5.25,,
,16SEP1966,,5.24,,
,19SEP1966,,5.32,,
,20SEP1966,,5.27,,
,21SEP1966,,5.21,,
,22SEP1966,,5.15,,
,23SEP1966,,5.17,,
,26SEP1966,,5.17,,
,27SEP1966,,5.13,,
,28SEP1966,,5.09,,
,29SEP1966,,4.99,,
,30SEP1966,,5.02,,
,03OCT1966,,5.08,,
,04OCT1966,,5.06,,
,05OCT1966,,5.05,,
,06OCT1966,,5.03,,
,07OCT1966,,5.02,,
,10OCT1966,,5.05,,
,11OCT1966,,5.05,,
,12OCT1966,,,,
,13OCT1966,,5.07,,
,14OCT1966,,5.06,,
,17OCT1966,,5.04,,
,18OCT1966,,4.99,,
,19OCT1966,,5,,
,20OCT1966,,5.02,,
,21OCT1966,,4.94,,
,24OCT1966,,4.94,,
,25OCT1966,,4.94,,
,26OCT1966,,4.96,,
,27OCT1966,,4.99,,
,28OCT1966,,4.97,,
,31OCT1966,,4.97,,
,01NOV1966,,4.99,,
,02NOV1966,,5.04,,
,03NOV1966,,5.06,,
,04NOV1966,,5.11,,
,07NOV1966,,5.11,,
,08NOV1966,,,,
,09NOV1966,,5.12,,
,10NOV1966,,5.17,,
,11NOV1966,,,,
,14NOV1966,,5.19,,
,15NOV1966,,5.21,,
,16NOV1966,,5.22,,
,17NOV1966,,5.23,,
,18NOV1966,,5.22,,
,21NOV1966,,5.17,,
,22NOV1966,,5.2,,
,23NOV1966,,5.22,,
,24NOV1966,,,,
,25NOV1966,,5.23,,
,28NOV1966,,5.19,,
,29NOV1966,,5.15,,
,30NOV1966,,5.12,,
,01DEC1966,,5.09,,
,02DEC1966,,5.03,,
,05DEC1966,,5.06,,
,06DEC1966,,5.07,,
,07DEC1966,,5.07,,
,08DEC1966,,5.1,,
